site_id,site_name,profile_id_a,profile_id_b,profile_name_a,profile_name_b,date_start,date_end,retreat_m_a,retreat_m_b,retreat_rate_m_per_year_a,retreat_rate_m_per_year_b,retreat_abs_m_a,retreat_abs_m_b,has_conflicting_shoreline_duplicates_a,has_conflicting_shoreline_duplicates_b
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2001-07-10,2003-07-17,-3.0200000000000102,-2.6499999999999986,-1.496682496607875,-1.3133141112618718,3.0200000000000102,2.6499999999999986,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2003-07-17,2004-07-21,-0.9799999999999898,-1.8200000000000005,-0.9674189189189089,-1.7966351351351353,0.9799999999999898,1.8200000000000005,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2004-07-21,2005-07-18,-0.2300000000000039,-0.5500000000000043,-0.2320649171270758,-0.5549378453038717,0.2300000000000039,0.5500000000000043,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2005-07-18,2006-07-28,-1.8100000000000025,-2.8799999999999955,-1.7629400000000024,-2.805119999999996,1.8100000000000025,2.8799999999999955,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2006-07-28,2006-10-02,-0.0899999999999963,0.279999999999994,-0.4980681818181613,1.5495454545454217,0.0899999999999963,0.279999999999994,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2006-10-02,2008-11-22,-2.6100000000000065,-3.719999999999999,-1.219056905370847,-1.737506393861892,2.6100000000000065,3.719999999999999,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2008-11-22,2009-07-17,0.1200000000000045,-0.6699999999999946,0.1849367088607665,-1.0325632911392322,0.1200000000000045,0.6699999999999946,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2009-07-17,2009-10-01,-1.1799999999999995,-0.4000000000000057,-5.670986842105261,-1.9223684210526588,1.1799999999999995,0.4000000000000057,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2009-10-01,2010-07-22,-0.0600000000000022,-0.3200000000000003,-0.0745408163265334,-0.3975510204081636,0.0600000000000022,0.3200000000000003,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2010-07-22,2011-07-13,-0.6999999999999957,-0.0799999999999983,-0.7181882022471866,-0.0820786516853915,0.6999999999999957,0.0799999999999983,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2011-07-13,2012-09-25,-0.2000000000000028,0.0,-0.1660227272727296,0.0,0.2000000000000028,0.0,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2012-09-25,2013-07-12,-0.5700000000000003,-0.8799999999999955,-0.7179051724137935,-1.1083448275862011,0.5700000000000003,0.8799999999999955,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2013-07-12,2014-07-09,-2.8800000000000026,-2.480000000000004,-2.905856353591163,-2.5022651933701696,2.8800000000000026,2.480000000000004,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2014-07-09,2015-07-14,-0.3999999999999986,-0.4399999999999977,-0.3948648648648634,-0.434351351351349,0.3999999999999986,0.4399999999999977,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2015-07-14,2016-10-13,-0.3299999999999983,-0.7899999999999991,-0.2637472647702393,-0.6313949671772422,0.3299999999999983,0.7899999999999991,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2016-10-13,2017-06-20,-1.5600000000000025,-2.220000000000006,-2.279160000000004,-3.243420000000009,1.5600000000000025,2.220000000000006,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2017-06-20,2019-10-08,-1.0899999999999963,-1.029999999999994,-0.4739553571428556,-0.4478660714285689,1.0899999999999963,1.029999999999994,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2019-10-08,2020-08-18,-1.0100000000000051,-1.2600000000000051,-1.1711190476190536,-1.4610000000000058,1.0100000000000051,1.2600000000000051,False,False
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,2020-08-18,2022-08-04,-1.6899999999999975,-0.9799999999999968,-0.8621124301675965,-0.4999231843575403,1.6899999999999975,0.9799999999999968,False,False
